"year","Austria","Belgium","Denmark","Finland","France","Germany","Italy","Netherlands","Norway","Sweden","Switzerland","UK","12 W. Europe","Ireland","Greece","Portugal","Spain","14 small WEC","30 W. Europe","Australia","N. Zealand","Canada","USA","W. Offshoots","Albania","Bulgaria","Czecho-slovakia","Hungary","Poland","Romania","Yugoslavia","7 E. Europe","Bosnia","Croatia","Macedonia","Slovenia","Serbia/Montenegro/Kosovo","F. Yugoslavia","Czech Rep.","Slovakia","F. Czecho-slovakia","Armenia","Azerbaijan","Belarus","Estonia","Georgia","Kazakhstan","Kyrgyzstan","Latvia","Lithuania","Moldova","Russia","Tajikistan","Turk-menistan","Ukraine","Uzbekistan","F. USSR","Argentina","Brazil","Chile","Colombia","Mexico","Peru","Uruguay","Venezuela","8 L. America","Bolivia","Costa Rica","Cuba","Dominican Rep.","Ecuador","El Salvador","Guatemala","Haïti","Honduras","Jamaica","Nicaragua","Panama","Paraguay","Puerto Rico","T. & Tobago","15 L. America","21 Caribbean","L. America","China","India","Indonesia (& Timor until '99)","Japan","Philippines","S. Korea","Thailand","Taiwan","Bangladesh","Burma","Hong Kong","Malaysia","Nepal","Pakistan","Singapore","Sri Lanka","16 E. Asia","Afghanistan","Cambodia","Laos","Mongolia","North Korea","Vietnam","24 Sm. E. Asia","30 E. Asia","Bahrain","Iran","Iraq","Israel","Jordan","Kuwait","Lebanon","Oman","Qatar","Saudi Arabia","Syria","Turkey","UAE","Yemen","W. Bank & Gaza","15 W. Asia","Asia","Algeria","Angola","Benin","Botswana","Burkina Faso","Burundi","Cameroon","Cape Verde","Centr. Afr. Rep.","Chad","Comoro Islands","Congo 'Brazzaville'","Côte d'Ivoire","Djibouti","Egypt","Equatorial Guinea","Eritrea & Ethiopia","Gabon","Gambia","Ghana","Guinea","Guinea Bissau","Kenya","Lesotho","Liberia","Libya","Madagascar","Malawi","Mali","Mauritania","Mauritius","Morocco","Mozambique","Namibia","Niger","Nigeria","Rwanda","S. Tomé & P.","Senegal","Seychelles","Sierra Leone","Somalia","South Africa","Sudan","Swaziland","Tanzania","Togo","Tunisia","Uganda","Zaire (Congo-Kinshasa)","Zambia","Zimbabwe","3 Small Afr.","Total Africa","...182","World Total"
1910,21762.528,30470.874,10678.05,5583.986,122237.694,210513.484,85285.0213775238,22438,5211.3428752451,15265,16177,207097.796,752720.776252769,NA,NA,7225,37633,NA,NA,22793,5555.541,29224.692,460470.87,518044.103,682,6581,25851,15291,45028,19698,13795,126926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26125.2129085191,17078,9951.85495632328,5682,25403,4058,3390,2484.00213274354,94172.0699975859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210439,40180,64559.353,7747,NA,NA,2509,NA,NA,NA,NA,NA,NA,NA,5639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1911,22442.607,31182.508,11249.88,5743.711,134230.281,217633.444,90838.5246722521,23263,5414.472039185,15595,16530,213162.482,787285.909711437,NA,NA,7369,40332,NA,NA,22967,5861.934,31214.904,475474.977,535518.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26590.1777656229,18959,9682.79031120911,5993,25584,4145,3288,2655.31262465688,96897.2807014889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209354,42442,68070.35,8243,8361,NA,2395,NA,7348,NA,2376,NA,NA,NA,5519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,23568.255,31926.489,11249.88,6063.161,145355.934,227126.724,91573.7788765763,23998,5680.6227371509,16191,16701,216307.134,815741.978613727,NA,NA,7494,40028,NA,NA,23764,5688.504,33274.948,497722.446,560449.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28769.7005332969,18747,10067.4114538482,6292,25740,4291,4013,2747.31270364739,100667.424690792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208946,42818,70506.552,8390,8789,NA,2297,NA,NA,NA,2486,NA,NA,NA,5533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,23451,32347,11670,6389,144489,237332,95487,24955,5987.9679988216,17273,16483,224618,840481.967998822,11891,8635,7467,41653,3843,902079.967998822,24861,5781,34916,517383,582941,728,7240,27755.4438860971,16447.3361158851,46449,21810,14364,134793.780001982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232351,29060.3035689867,19188,10251.9360654266,6420.23252058776,25921,4434,3896,3172.41651691384,102343.888671915,NA,NA,NA,NA,NA,NA,NA,NA,NA,509,NA,NA,NA,NA,NA,16670,1782,120795.888671915,241431,204242,45152,71653,9272,9206,7304,2545,NA,8445,623,2776,3039,NA,413,5938,612039,NA,NA,NA,NA,4257,14062,1682,28115,NA,10994,2613,NA,348,NA,876,NA,NA,NA,2692,18195,NA,NA,875,40588,680742,6395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10950,NA,NA,NA,NA,1595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9857,NA,NA,NA,NA,1651,NA,NA,NA,NA,NA,79486,NA,2733189.63667272
1914,19571.5345714286,30299.897,12405.21,6107.884,134230.281,202206.864,95412.5775695873,24281.215,6111.4748344067,17543,16496.4860909091,226864.18,791530.604066332,NA,8208,7520,41075,3594,NA,24797,5931.306,32576.628,477544.509,540849.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26038.0319978121,18844,8663.21153472083,6199,26095,4407,3246,2772.6920357827,96264.9355683156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215400,45076,69503.41,9103,9709,NA,2491,NA,NA,NA,2893,NA,NA,NA,5853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1915,18154.4241428571,29934.838,11541.63,5801.212,131484.99,192001.588,106729.608287909,25104.73,6380.4691869567,17811,16658.3191818182,245058.238,806661.046799541,NA,6289,7352,41746,3673,NA,24341,5960.211,34671.588,490996.467,555969.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26183.333515657,19688,8384.33090763176,6173,26270,4787,3078,2858.34728173937,97422.0117050282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210110,45647,75952.18,8532,11433,NA,2605,NA,NA,NA,3007,NA,NA,NA,5574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,17933.3147142857,31672.334,12031.77,5877.88,138131.484,193900.244,119746.276804033,25778.515,6627.4060025976,18725,16605.8732727273,250449.07,837479.167793643,NA,5385,7397,43687,3822,NA,24172,5913.963,38163.188,558773.64,627022.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25427.7656228634,20263,10277.9092518275,6854,26446,5283,3183,2696.55403937677,100431.228914068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216245,46350,87703.272,9966,11286,NA,2827,NA,10405,NA,3258,NA,NA,NA,5829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,17548.0482857143,27199.206,11319.9,4938.697,117036.09,194137.576,125383.180347185,24131.485,6023.7058199461,17464,14789.7463636364,252695.25,812666.884816481,NA,4733,7281,43150,3732,NA,23716,5769.438,39734.408,544804.299,614024.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23364.4840694653,21664,10499.1319701387,7434,26624,5478,3511,3147.03718477853,101721.653224383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212341,46513,90641.045,11624,12596,NA,3212,NA,NA,NA,3449,NA,NA,NA,6137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,17186.2328571429,21917.403,10946.46,4280.63,92328.471,194612.24,127249.266100808,22634.185,5782.1488913562,16376,14737.3004545455,254267.576,782317.913303853,NA,8037,6913,42844,3634,NA,23155,5676.942,37185.54,593955.684,659973.166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27665.4089976754,21223,10632.757830831,7391,26803,5511,3721,3128.00268567705,106075.169514183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185202,47597,91572.534,13272,13689,NA,3087,NA,NA,NA,3300,NA,NA,NA,5658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,14502.7684285714,25854.495,12358.53,5168.701,108800.217,156591,105979.712858785,28049.42,6772.8935195625,17129,15706.8005454545,226639.562,723553.100352373,NA,7212,7064,43112,3446,NA,24488,6312.852,34357.344,599129.514,664287.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28682.5196225899,24024,9122.50382403594,7588,26983,5694,4204,2921.79561207765,109219.819058704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210730,51402,100959.077,12757,14705,NA,3210,NA,NA,NA,4020,NA,NA,NA,6041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,15571.464,29920.975,12942.03,5782.045,125849.919,170235,96757.3252675323,28897.89,7217.4259010337,18280,16725.7496363636,212937.864,741117.687804929,NA,8166,7411,46226,3523,NA,25534,7000.791,33973.268,593438.301,659946.36,NA,NA,25090.9212730318,13585.4996317211,NA,NA,12810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30774.861479557,26393,10304.838539515,7797,27164,5751,3666,3508.69266770671,115359.392686779,NA,682,NA,NA,NA,1091,2032,NA,917,NA,809,NA,NA,NA,NA,NA,NA,NA,NA,194051,50779,94653.613,13826,12889,NA,3202,NA,NA,NA,3936,NA,NA,NA,5733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,17236.485,30438.527,12568.59,5973.715,120648.315,189511,95286.6285160268,30669.695,6517.6563067572,16720,16310.6777272727,195642.278,737523.567550057,7841,11196,7831,47370,3346,815107.567550057,26818,6538.311,30307.088,579986.343,643649.742,NA,NA,27117.0686767169,NA,NA,NA,13129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31559.4896759196,26944,8931.4218996317,7999,27346,5989,3857,3651.45141096783,116277.362986519,NA,668,NA,NA,NA,1094,2231,NA,927,NA,840,NA,NA,NA,NA,NA,NA,NA,NA,208785,51212,105043.298,13505,14069,NA,3361,NA,9392,NA,3889,NA,NA,NA,5617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,18784.251,33414.451,13840.62,6606.226,142321.665,206188,100210.142196767,32341.68,7217.4259010337,18540,17890.0488181818,205750.088,803104.597915982,7800,11565,8788,49390,3843,884490.597915982,28225,6312.852,34741.42,612064.089,681343.361,NA,NA,26395.4271356784,NA,NA,NA,13522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34058.6757828525,28801,9258.14774090272,8206,27994,6505,4411,3752.96873950907,122986.792263264,NA,727,NA,NA,NA,1159,2106,NA,1008,NA,769,NA,NA,NA,NA,NA,NA,NA,NA,217594,52033,104756.686,15124,13075,NA,3779,NA,NA,NA,4259,NA,NA,NA,5831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,18596.643,34611.29,15299.37,7091.79,149690.604,171318,106265.868315483,33140.24,7412.2546678092,19484,18925.4809090909,212264.01,794099.550892383,7760,11947,9169,50028,3780,876783.550892383,29579,6821.58,36801.464,692775.837,765977.881,NA,NA,28588.1072026801,NA,NA,NA,14234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37836.5152468207,30454,11151.472211782,8420,28953,6953,4644,4330.34854558739,132742.33600419,NA,672,NA,NA,NA,1208,2316,NA,1002,NA,823,NA,NA,NA,NA,NA,NA,NA,NA,210511,52858,104828.339,14196,14165,NA,3908,NA,NA,NA,4194,NA,NA,NA,5782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,20754.135,35743.435,15346.05,7277.071,168474.174,200557,107312.221894993,35560.875,7409.5647242837,20514,19631.253,221024.112,859603.891619277,7720,12341,8828,51443,4072,944007.891619277,31524,6942.981,37360.12,713988.54,789815.641,NA,4976.46379111368,31557.9396984925,15740.100662902,NA,NA,15264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40771.6059072884,30434,11992.2166104525,8637,28487,7608,5089,5015.59051324078,138034.413030982,NA,769,NA,NA,NA,1292,2504,NA,936,NA,872,NA,NA,NA,NA,NA,NA,NA,NA,220763,55683,107766.112,15495,14420,NA,4254,NA,NA,NA,4095,NA,NA,NA,6148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,22161.195,36293.334,14995.95,7692.356,169196.619,223082,114396.55083037,37058.175,7865.0874464448,20638,21065.274,231805.776,906250.317276814,7680,12748,9223,54627,4278,994806.317276814,33002,7312.965,41445.292,730544.796,812305.053,NA,5155.98990190421,35277.1691792295,18914.4365332679,NA,NA,16025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40597.2440858745,30556,12514.3138358125,8859.92087841111,30250,7809,4890,6481.24694405498,141957.725744153,NA,766,NA,NA,NA,1203,2456,NA,1130,NA,963,NA,NA,NA,NA,NA,NA,NA,NA,223375,57610,112208.598,15617,14557,NA,4513,NA,NA,NA,4743,NA,NA,NA,6534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,22536.411,37522.52,15871.2,7986.25,173675.778,229363,115594.822508547,40027.82,7983.0606839203,22279,22120.186,223270.292,918230.340192468,7640,13169,9163,54424,4317,1006943.34019247,33792,6925.638,43679.916,778144.032,862541.586,NA,6671.19027697634,35138.391959799,18124.9643997054,NA,16849.6873198847,17154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42544.2844249966,31210,11471.8634930232,9707.39157112869,32064,8602,5338,7839.0412132941,148776.580702443,NA,847,NA,NA,NA,1422,2480,NA,1140,NA,837,NA,NA,NA,NA,NA,NA,NA,NA,230410,60781,113211.74,16399,15177,NA,4604,NA,11326,NA,5316,NA,NA,NA,7022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,23216.49,38913.441,16186.29,8612.372,170063.553,252321,113094.299649133,41699.805,8284.9492030107,22986,23306.962,241239.732,959924.893852144,7845,13603,10772,59140,4503,1055787.89385214,34305,6729.084,48009.5,785904.777,874948.361,NA,7274.39800923254,37775.1591289782,18914.4365332679,NA,16849.6873198847,16884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45566.5559961712,33476,11263.7788503334,10580.5431939286,30664,8754,6106,8793.93858488517,155204.816625318,NA,769,NA,NA,NA,1250,2643,NA,1252,NA,841,NA,NA,NA,NA,NA,NA,NA,NA,230426,64989,114859.759,16808,15913,NA,4620,NA,NA,NA,5165,NA,NA,NA,7053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,24295.236,40951.302,16734.78,9193.771,181911.651,263367,121182.358877472,43920.8,8649.9361116564,23687,24609.119,244159.766,1002662.71998913,8058,13864,9732,59371,4694,1098381.71998913,34368,7474.833,52269.252,794700.288,888812.373,NA,7159.5012983266,41105.8123953099,20575.6174809723,NA,16849.6873198847,18381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,231886,48414.4657459319,37333,13797.6139517103,11357.3913289197,30846,9319,6429,9847.18086850056,167343.651895062,NA,809,NA,NA,NA,1466,2702,NA,1408,NA,1065,NA,NA,NA,NA,NA,NA,NA,NA,232745,68099,124246.302,17458,16105,NA,4762,NA,NA,NA,5865,NA,NA,NA,7202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,24647.001,40595.485,17855.1,9302.384,194193.216,262284,125180.461309583,44270.17,9467.7557989377,25338,25466.235,251347.542,1029947.35010852,8294,14696,10789,63570,4810,1132106.35010852,33662,7740.759,52199.42,843334.29,936936.469,905,7023.06145412579,42240.3161641541,21249.9582617235,58980.1558117794,16078.5345821326,19363,165840.026273915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238392,50623.0488171749,37415,14519.3856525087,11768.2862102374,29653,10293,6483,11166.9061395367,171921.626819458,NA,775,6132,NA,NA,1468,3016,NA,1394,NA,1190,NA,NA,NA,NA,NA,NA,NA,274090,242409,70015,128115.564,18208,15328,9568,5028,NA,NA,NA,7261,NA,NA,NA,7571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
